slug,название,статус,ссылка,канал,просмотры,длительность (мин),опубликован,язык,расшифровка,попыток,о чём ролик,итог,блогер хвалит,блогер ругает,ошибка,обновлено
cube-boy,Cube Boy,готов,https://www.youtube.com/watch?v=W05R7G5IJWE,Indie Enjoyer,62,66.3,3 weeks ago,en,Whisper,1,"В ролике блогер проходит Cube Boy, исследуя дом и решая в нем различные головоломки. Автор описывает процесс взаимодействия с окружением, где ему приходится внимательно изучать детали и разбираться в специфических механиках игры.","Несмотря на сложности с управлением, медленное перемещение и некоторые технические огрехи, блогер остался доволен игрой, назвав её качественным и уютным пазл-приключением. Итоговое впечатление положительное: автор готов перепройти Cube Boy снова из-за её визуального стиля и баланса сложности.",приятная визуальная составляющая; приятное общее впечатление от игры; интересная физика движения персонажа; неплохая система подсказок; крутой визуальный эффект глаза,непонятные механики взаимодействия; неудобное и медленное перемещение между комнатами; мелкие ошибки в тексте и верстке; отвлекающий элемент в виде бегающего жука; сложность управления кубом,,2026-09-16 10:23
cursed-and-fading,Cursed and Fading,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:40
detstvo,DETSTVO,готов,https://www.youtube.com/watch?v=eoMeJ9MEM2w,FuzzyPlus,2581,22.0,1 year ago,sk,Whisper,1,"Блогер анализирует новый контент в игре DETSTVO, включая сезонные задачи, новые карточки в SBC, эволюции и специальные акции. Он подробно разбирает характеристики новых игроков, их стоимость и эффективность различных Playstyle Plus, а также сравнивает разные версии одних и тех же футболистов.","Блогер доволен общим количеством контента и качеством некоторых новых карточек, особенно отметив бесплатную эволюцию. Однако он критикует высокую стоимость некоторых SBC и отсутствие ключевых характеристик у дорогих игроков.",хорошее сочетание характеристик и стилей игры у некоторых новых карт; качественный дизайн карточек в стиле FIFA 15; выгодная бесплатная эволюция; хорошее соотношение цены и характеристик у некоторых карт,недостаточно подходящие роли для некоторых карт; высокая цена за карту не оправдывает её характеристики; отсутствие важных характеристик или стилей игры; недостаточная физическая сила у некоторых игроков,,2026-09-16 15:01
dr-dominoes,DR Dominoes,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 15:58
daggermap,Daggermap,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:21
davy-bones,Davy bones,готов,https://www.youtube.com/watch?v=hR6H6BTS8v4,MontyCap,93,21.5,9 months ago,en,Whisper,1,"Блогер делится впечатлениями от игры Davy bones, отмечая наличие интересных механик, таких как парирование и система азартных игр. Он хвалит озвучку и визуальную составляющую, но также отмечает некоторые сложности в управлении и интерфейсе. В целом, автор игры производит на него положительное впечатление, хотя он и признает наличие пугающих моментов.","Игра Davy bones оставляет приятное впечатление благодаря качественной озвучке и интересным игровым механикам, таким как парирование и азартные игры. Несмотря на некоторые трудности с управлением и интерфейсом, а также наличие пугающих моментов, проект кажется любопытным и визуально приятным.",Качественная озвучка; Наличие механики парирования; Интересная механика азартных игр; Красивая карта; Приятная механика перезарядки,Непонятный интерфейс и отсутствие индикатора здоровья; Сложность навигации и управления; Пугающая атмосфера некоторых моментов,,2026-09-16 10:21
decide-your-fate,Decide Your Fate,готов,https://www.youtube.com/watch?v=ADMezeQlrz8,DangerouslyFunny,184295,34.9,2 years ago,en,Whisper,1,"В ролике блогер проходит игру Decide Your Fate, уделяя внимание развитию базы, стратегическому планированию и взаимодействию с соседями. Он подробно описывает свои действия по строительству защитных сооружений, управлению ресурсами и использованию различных катастроф для достижения целей.","Блогер получил удовольствие от процесса игры, особенно от возможности разрушать постройки противников и использовать торнадо, несмотря на некоторые замечания по поводу стоимости защиты и нехватки места на острове.","эффективность лучников в бою; Полезная механика маяка, которая удваивает добычу рыбы; Приятная возможность отправлять торнадо другим игрокам; Хорошая возможность для получения ресурсов при атаке; полезная синергия между зданиями","нехватка места на острове для строительства; Высокая стоимость строительства стен; Неочевидная или странная работа некоторых зданий, например, маяка; Рискованность использования башен магов из-за возможности получить собственные катастрофы; недостаточная эффективность защитных башен относительно их высокой стоимости",,2026-09-16 11:03
desktop-fidget-spinner,Desktop Fidget Spinner,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:05
diablo-iv-age-of-hatred-collection,Diablo IV: Age of Hatred Collection,готов,https://www.youtube.com/watch?v=fXIq12Qj76A,PrimeForce ShockRare,12,67.7,1 month ago,en,Whisper,1,"Блогер начинает прохождение Diablo IV: Age of Hatred Collection, выбрав класс Sorcerer и сложность Expert. В данном ролике он проходит пролог, в ходе которого делится впечатлениями от системы идентификации магических предметов, механики регенерации здоровья и визуальной составляющей игры. Блогер отмечает, что игра визуально приятнее предыдущих частей, но не превосходит их по качеству.","Блогер оценивает Diablo IV как визуально привлекательную игру, однако отмечает ряд технических и геймплейных нюансов, таких как отсутствие регенерации здоровья и изменения в системе идентификации предметов, которые могут вызвать вопросы у поклонников классики.","Визуальное исполнение игры лучше, чем в предыдущих частях; Красивый внешний вид некоторых предметов",Отсутствие регенерации здоровья у персонажа; Неудобная система идентификации магических предметов по сравнению с Diablo I; Ограничение выбора сложности Expert сразу в начале игры,,2026-09-16 13:08
diceroll,DiceRoll,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:26
dont-stop-cutting-the-trees,Don't Stop Cutting The Trees!,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:37
dragon-hunter-rpg,Dragon Hunter RPG,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:14
dream-draw-dungeons,Dream Draw Dungeons,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:22
drift-invaders,Drift Invaders,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:25
driving-test-simulator,Driving Test Simulator,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:36
dungeons-and-death,Dungeons & Death,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:16
duo-quest,Duo Quest,готов,https://www.youtube.com/watch?v=jA9S_PZ86h0,CaRtOoNz,149573,84.1,3 months ago,en,Whisper,1,"В данном ролике блогер вместе с другом проходит Duo Quest, исследуя уникальную систему карточного боя и кооперативные механики. Автор активно обсуждает тактику использования способностей, систему прокачки и взаимодействие персонажей в ходе совместного приключения.","Блогер остался под впечатлением от игры, оценив её как качественный и увлекательный кооперативный проект с крутым геймплеем. Несмотря на периодическое недовольство высокой сложностью и стоимостью ресурсов, автор планирует вернуться к игре после её релиза.",Уникальная механика боя с разделением на режимы; Интересная механика вопросов как части игрового процесса; Удобная и интересная система комбинации карт; Общая крутость и качество игры; Возможность синергии между разными классами персонажей,Высокая сложность и быстрое уменьшение здоровья; Неочевидная или слабая механика некоторых способностей; Неоправданная стоимость получения предметов; Сложность некоторых сражений; Неожиданное или странное поведение некоторых механик,,2026-09-16 10:38
emberdeep,EMBERDEEP,не найден,,,,,,,,1,,,,,uIJyrZGFc9Y: мало речи блогера (0 символов в минуту),2026-09-16 15:00
elden-ring-tarnished-edition,Elden Ring: Tarnished Edition,готов,https://www.youtube.com/watch?v=ske11nLVHhs,Proz Kryptix,63082,77.9,11 days ago,en,Whisper,2,"В данном ролике Kryptix Plays исследует возможности Elden Ring: Tarnished Edition, экспериментируя с различными билдами, новым оружием и способностями. Блогер подробно тестирует механику парирования, собирает талисманы и снаряжение, а также оценивает новые косметические предметы и контент дополнения.","Блогер остался доволен Elden Ring: Tarnished Edition, особенно отметив улучшения для ПК и новые возможности кастомизации. Несмотря на периодическое разочарование балансом урона и странным поведением некоторых боссов, общее впечатление от игры осталось положительным.",Высокий урон от выбранного билда; Механика парирования ощущается приятно и кажется более отзывчивой; Новая броня для Torrent получила качественные звуковые эффекты; В игре есть возможность менять внешний вид коня; Новый класс Idis Knight обладает сбалансированными характеристиками,Некоторые новые атаки не наносят ожидаемого урона; Некоторые механики или движения боссов кажутся странными или багнутыми; Способность оружия кажется бесполезной или странной; Ограниченное количество доступных улучшений для оружия в начале игры; Неочевидная или странная механика появления врагов,,2026-09-15 17:19
embrace-the-potato,Embrace The Potato,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:39
emo-lisa,Emo Lisa,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:43
endless-roadtrip,Endless Roadtrip,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:15
escape-house-of-bonds,Escape! House of Bonds,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:41
f-this-job,F*** This Job,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:38
fallen-tear-the-ascension,Fallen Tear: The Ascension,готов,https://www.youtube.com/watch?v=woLhpjR_SFo,MythyMoo,18655,19.1,5 months ago,en,Whisper,1,"Блогер крайне положительно оценивает Fallen Tear: The Ascension, называя игру визуально потрясающей и приятной в управлении. Ему нравится сочетание линейного прогресса с возможностью заниматься охотой и выполнением контрактов. Автор отмечает плавность анимаций, качественный звук и интересные механики взаимодействия с окружением и персонажами.","Блогер в восторге от Fallen Tear: The Ascension, особенно выделяя визуальное исполнение и отзывчивость управления. Игра оставляет очень приятное впечатление благодаря сочетанию классических механик metroidvania с дополнительными системами контрактов и охоты.",Красивый и качественный визуальный стиль; Плавное и приятное управление; Качественная анимация персонажей; Отличная музыка; Удобные и интересные механики взаимодействия,Недостаточное количество здоровья при использовании определенных способностей,,2026-09-16 11:04
false-normality,False Normality,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:16
football-academy-director,Football Academy Director,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:16
forty-depths-beneath-knossos-the-minotaurs-maze,Forty Depths Beneath Knossos: The Minotaur's Maze,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 15:57
fright-train,Fright Train,готов,https://www.youtube.com/watch?v=4GKk7Wdjha4,Keith Ballard,6920,49.5,4 months ago,en,Whisper,2,"В ролике блогер знакомится с демоверсией Fright Train, исследуя основные игровые механики и системные особенности проекта. Он изучает управление ресурсами, температурный режим, ремонт поезда и систему боевых действий, уделяя внимание деталям взаимодействия с игровым миром.","Блогер считает игру многообещающим системным проектом с элементами roguelike, который может быть увлекательным при условии привыкания к специфическим механикам. Несмотря на технические странности и сложность обучения, общее впечатление от проекта остается положительным и любопытным.",Сходство с Dead Space в плане отсечения конечностей; Интересная идея с системой доставки предметов; Механика перезарядки оружия проработана детально; Наличие системы ремонта и обслуживания поезда; игра обладает потенциалом как системный проект,"неинтуитивная и сложная система смены магазинов и перезарядки; проблемная система инвентаря, которая кажется излишне запутанной и ограничивающей; непонятный интерфейс и отсутствие информации о содержимом сундуков при полном инвентаре; Повторяющиеся действия в обучении кажутся утомительными; непонятные механики взаимодействия с бурей, которые не были четко объяснены в туториалах",,2026-09-16 10:31
furry-slot,Furry Slot,готов,https://www.youtube.com/watch?v=3ZWYSbo7Gj0,Keith Ballard,4875,50.0,2 months ago,en,Whisper,1,"В данном ролике блогер знакомство с игрой Furry Slot, представляющей собой необычный эксперимент на стыке механики слота и жанра roguelite. Автор проходит демо-версию игры, исследуя её уникальную динамику и визуальную подачу. На протяжении всего видео он анализирует, как сочетание этих жанров влияет на игровой процесс и сложность.","Общее впечатление блогера от игры смешанное, но интересное: автор ценит стратегическую глубину и крутые визуальные эффекты, однако отмечает значительные технические огрехи и проблемы с интерфейсом. Несмотря на трудности с пониманием описаний способностей, динамика и прогрессия сложности зацепили автора.","Игра требует больше стратегического планирования и навыков, чем кажется на первый взгляд; Возможность находить и использовать закономерности в игровых процессах; Интересная механика использования золота для получения дополнительных бонусов; Впечатляющая визуальная прогрессия и эффекты; Интересный темп игры",Сложность чтения и понимания описаний способностей; Недостаток информации от игры о результатах действий; Непонятная и странная шкала громкости; Недостаток анимаций в текущем состоянии игры; Отсутствие звуковых эффектов при получении предметов,,2026-09-16 19:28
garage-tidy-up,Garage: Tidy Up!,готов,https://www.youtube.com/watch?v=18ygbDT7yQs,EnglishGamer38,61,75.0,1 year ago,en,Whisper,1,"В данном ролике блогер занимается расхламлением, организацией пространства и подготовкой к сборке автомобиля Impala в своей мастерской. Он детально прорабатывает систему хранения запчастей, устанавливает полки и отправляется на свалку за необходимыми компонентами. В процессе игры автор обсуждает технические аспекты проекта, включая использование инструментов, работу модов и специфику управления техникой.","Блогер высоко оценивает глубокие возможности кастомизации и удобную систему организации пространства, однако отмечает наличие технических проблем с производительностью и стабильностью объектов. Общее впечатление положительное, несмотря на некоторые сложности с физикой и управлением.",Наличие инструмента для перемещения объектов упрощает организацию пространства; Возможность создавать собственные этикетки; Удобная система организации пространства; Возможность создания специализированных рабочих зон,"Нестабильность некоторых объектов: некоторые предметы исчезают после перезагрузки сохранения; Исчезновение некоторых предметов; Проблемы с производительностью (лаги); Неудобство управления колесами без специального мода, что приводит к нагрузке на кисть; Проблемы с физикой прицепа, который сильно прыгает при буксировке",,2026-09-16 11:01
goddess-must-survive,Goddess Must Survive!,не найден,,,,,,,,1,,,,,KoeH5IVfYPc: мало речи блогера (19 символов в минуту),2026-09-16 10:51
gray-company,Gray Company,готов,https://www.youtube.com/watch?v=LfZOrXtMQbs,RimBrain,34012,28.0,1 month ago,en,Whisper,2,"В данном ролике блогер знакомится с модом Gray Company для игры RimWorld, начиная с выживания в суровых условиях зимнего биома. Он проходит путь от базового сбора ресурсов и борьбы с враждебными фракциями до освоения сложных боевых механик и системы лечения.","Блогер оценивает игру как глубокий и реалистичный опыт с высоким уровнем погружения, где каждая ошибка может стать фатальной. Несмотря на высокую сложность и необходимость долгого обучения механикам, автор признает, что мод обеспечивает отличный уровень хаоса и интереса.",Наличие системы лутбоксов для получения случайных предметов; Возможность ремонта старых транспортных средств; Наличие системы отображения очков угрозы; Удобная механика быстрого спасения людей с помощью мода; Возможность кастомизации оружия у определенных типов врагов,Недостаточность медицинского оборудования для лечения тяжелых ранений; Низкое качество стартового оружия; Плохое качество лечения из-за отсутствия условий; Неудачное стартовое исследование; Недостаточное количество дней для выращивания культур,,2026-09-16 10:30
green-vs-tan,Green vs Tan,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:20
grim-wanderings-reborn,Grim Wanderings Reborn,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:42
helldrop,HELLDROP,не найден,,,,,,,,2,,,,,d4coh8IoprA: мало речи блогера (87 символов в минуту),2026-09-16 10:32
halloween-the-game,Halloween: The Game,готов,https://www.youtube.com/watch?v=Bc1hwOcs0JU,SpookyLoopz,1887190,26.5,12 days ago,en,Whisper,2,"Блогер делится впечатлениями от игры Halloween: The Game, сравнивая её геймплей с Friday the 13th и Texas Chainsaw Massacre. Он отмечает наличие режима для одного игрока, который служит туториалом для Майкла Майерса, и описывает основные механики: противостояние четырех жителей против одного убийцы, систему способностей, систему прокачки через кладбище и возможность создания кастомных колод перков. Блогер отмечает наличие технических проблем и «кривизны» игры, но в целом находит процесс интересным.","Блогер считает игру неплохой и интересной, отметив, что она может быть хорошим выбором для тех, кому нравится Friday the 13th. Несмотря на наличие технических недоработок и проблем с балансом лута, он остался доволен своим результатом и общим впечатлением от процесса.",атмосфера и геймплей напоминают Friday the 13th; интересная механика способности Shape Jump; крутая система различных казней при достижении определенного уровня; интересная механика возрождения в виде других персонажей,высокий уровень лута для жителей; некоторым механикам и персонажам не хватает отполированности; длительное время выполнения некоторых казней; сложность отслеживания противника из-за необходимости постоянно использовать режим скрытности; отсутствие возможности просто наблюдать за игрой после смерти,,2026-09-16 10:07
haunted-shift,Haunted Shift,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:15
hearthpiece,Hearthpiece,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:28
heroes-suck,Heroes Suck,готов,https://www.youtube.com/watch?v=ubqhdfsz4Hk,Akwartz,2196,53.6,4 weeks ago,fr,Whisper,2,"В данном ролике блогер знакомится с бета-версией Heroes Suck, представляющей собой смесь Tower Defense, Orcs Must Die и Dungeon Keeper с элементами roguelite. Автор тестирует игровые механики, оценивая удобство управления и систему прогрессии на протяжении двух частей прохождения.","Общее впечатление блогера меняется от положительного к разочарованию: несмотря на интересную концепцию и удобство управления, игра показалась ему посредственной из-за скучного игрового цикла и отсутствия глубины в улучшениях.",Удобное управление камерой и интерфейсом; Удобная механика автоматического перемещения ловушек; Эффективные магические способности; Потенциал для улучшения игры в будущем; Приятные визуальные эффекты молний,Мало взаимодействия и активности между волнами; Скучные и однообразные улучшения ловушек; Слабые характеристики некоторых ловушек; Странная структура прогрессии; Недостаточно глубокие бонусы в дереве навыков,,2026-09-16 10:35
hetjas-adventures,Hetja's Adventures,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:08
hidden-objects-painted-forest,Hidden Objects Painted Forest,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:53
hollow-parish-dead-frequency,Hollow Parish: Dead Frequency,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:52
hoodie-havoc,Hoodie Havoc,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:46
hot-wheels-infinite-rush,Hot Wheels Infinite Rush,готов,https://www.youtube.com/watch?v=eiLh27q8zPs,polman,123949,34.2,4 days ago,es,Whisper,2,"Блогер делится первыми впечатлениями от Hot Wheels Infinite Rush, отмечая переход игры к формату открытого мира. Он хвалит визуальный стиль, разнообразие островов и концепцию свободного исследования, однако критикует повторное использование одних и тех же трасс для разных режимов. Блогер отмечает, что управление довольно простое, а прогрессия и коллекционирование предметов затягивают, хотя некоторые механики (например, отсутствие возможности толкать соперников в определенных режимах) могут вызвать вопросы.","Hot Wheels Infinite Rush оставляет приятное первое впечатление благодаря качественному дизайну и увлекательному формату открытого мира. Блогеру понравилась динамика гонок и возможность исследовать разные биомы, однако он советует разработчикам избегать повторного использования одних и тех же трасс для разных режимов, чтобы не снижать интерес к прохождению.",Приятный визуальный стиль и дизайн мира; Интересная концепция открытого мира и разнообразие островов; Простое управление автомобилями; Интересные визуальные эффекты воды,Повторное использование одних и тех же трасс для разных испытаний; Недостаточная интерактивность при переходе между островами; Ограниченная возможность взаимодействия с соперниками в некоторых режимах,,2026-09-16 10:00
in-the-vroms-in-clones,In The Vroms In Clones,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:15
infinite-music-game,Infinite Music Game,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:38
jacks-achievements-simulator-dog-and-lava,Jack's Achievements Simulator: Dog & Lava,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:13
jettfuel-plus,JettFuel+,готов,https://www.youtube.com/watch?v=wuTBd9p8eRI,NivPlaysIndieGames,98,10.5,2 weeks ago,en,Whisper,1,"Блогер делится впечатлениями от демоверсии JettFuel+, отмечая, что игра довольно милая и в неё можно поиграть, когда скучно. Он упоминает визуальное сходство некоторых элементов с классическими играми, такими как Sonic и Safari 64. В целом, блогер оценивает игру положительно, хотя и признает наличие моментов с запутанным управлением или неожиданными препятствиями.","JettFuel+ — это милая инди-игра с приятным визуальным стилем, которая хорошо подходит для отдыха. Несмотря на некоторые странности в дизайне уровней и механиках, она оставляет приятное впечатление.",Милая графика; Приятно играть в свободное время,"Неочевидные механики и опасные платформы; Сложность понимания того, как взаимодействовать с объектами",,2026-09-15 18:22
jigsaw-diorama-the-alchemist-and-the-eclipse,Jigsaw Diorama: The Alchemist and the Eclipse,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:23
joker-master,Joker Master,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:13
jule,Jule,готов,https://www.youtube.com/watch?v=xMZZCG2qV5Q,Nadia Vya,31064,11.8,9 months ago,id,Whisper,1,"Блогер делится своими впечатлениями от прохождения Jule tower в Roblox. Основное внимание в ролике уделяется персонажу Jule, который вызывает у автора сильное раздражение и даже чувство преследования. Блогер описывает игру как крайне пугающую и сложную, отмечая специфическую атмосферу и визуальные решения.","Блогер считает Jule tower самым ужасным и пугающим испытанием из тех, что он проходил. Несмотря на то, что использование определенных предметов упрощает процесс, игра оставляет крайне негативные эмоции из-за раздражающего персонажа, сложной механики времени и пугающей атмосферы.",Наличие специальных предметов (coil) значительно облегчает прохождение,Игра вызывает сильное чувство тревоги и страха; Слишком высокая сложность и ограниченное время на прохождение; Неудачные визуальные решения и цветовая гамма; Навязчивый и раздражающий персонаж Jule; Пугающая музыка,,2026-09-16 11:08
jumpy-vs-chompy,Jumpy vs. Chompy,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:12
knuckle-jet,Knuckle Jet,готов,https://www.youtube.com/watch?v=LJZ5vaKItZk,nygelplays,7,36.4,Streamed 4 weeks ago,pt,Whisper,3,"Блогер делится впечатлениями от демоверсии игры Knuckle Jet, отмечая технические сложности и специфику геймплея. Основное внимание уделяется проблемам производительности на его компьютере, работе управления и визуальному стилю игры. Блогер сравнивает проект с другой игрой, отмечая различия в качестве графики и цене, а также делится мыслями о структуре миссий и атмосфере игры.","Блогер отмечает, что игра обладает приятной музыкой и хорошим визуальным стилем, однако он крайне недоволен техническим состоянием проекта. Игра часто зависает, имеет проблемы с загрузкой кат-сцен и некорректно работает с управлением. Также автор указывает на однообразие миссий и сравнительно низкое качество графики относительно стоимости.",Хорошая музыка; Качественный визуальный стиль и сценарий; Красивый сценарий,Плохая оптимизация и технические проблемы; Проблемы с управлением; Слабая графика по сравнению с конкурентами; Однообразные миссии,,2026-09-16 11:13
liminal-sorting,LIMINAL SORTING,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:53
look-to-the-birds,Look to the Birds,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 15:58
lucent,Lucent,готов,https://www.youtube.com/watch?v=HKemaTLBSyY,FRESHY,40720,16.6,1 year ago,en,Whisper,1,"Блогер демонстрирует процесс масштабного улучшения экипировки в Throne and Liberty, потратив 37 000 Lucent и более 20 миллионов золота. Он подробно объясняет механики накопления и передачи «благословения» (blessing) для гарантированного улучшения характеристик, а также показывает процесс улучшения различных предметов (оружия, шлема, нагрудника, перчаток, сапог, плаща, колец и браслетов). Блогер отмечает высокую стоимость некоторых предметов и подчеркивает, что для полной прокачки персонажа требуются значительные затраты ресурсов.","Блогер показывает, что Throne and Liberty может быть довольно затратным проектом, где для полноценного улучшения экипировки требуются большие ресурсы. Несмотря на наличие системы накопления благословения для гарантированных улучшений, стоимость топовых предметов и характеристик остается высокой.",Удачное выпадение нужной характеристики при крафте оружия; Возможность бесконечного накопления благословения через неудачные улучшения; Удачное получение нужных характеристик на кольце,Высокая стоимость некоторых предметов на рынке; Неудачное выпадение характеристик при открытии сундуков; Неудачное выпадение предмета в качестве дропа; Высокая стоимость некоторых синих характеристик по сравнению с фиолетовыми,,2026-09-16 10:52
monowave,MONOWAVE,готов,https://www.youtube.com/watch?v=m_-kJOGEawQ,Nookrium,1238,93.9,10 months ago,en,Whisper,1,"В ролике блогер знакомится с MONOWAVE — необычным пазл-платформером, где прохождение основано на управлении эмоциями персонажа. Автор исследует, как разные чувства меняют способности героя, динамику музыки и взаимодействие с окружающим миром. Блогер проходит демоверсию игры, оценивая креативные идеи и уникальные механики проекта.","Блогер остался под приятным впечатлением от MONOWAVE, назвав её оригинальным и забавным проектом с отличным саундтреком. Несмотря на порой запутанные механики и сложные тайминги, автор высоко оценил уникальную концепцию управления эмоциями.",Хорошее качество музыки; Интересная механика использования эмоций для решения пазлов; Музыка меняется в зависимости от текущей эмоции персонажа; Возможность влиять на эмоции окружающих животных; Наличие системы подсказок при выполнении условий,Неочевидные решения и запутанность механик; Сложность таймингов из-за задержки прыжка в тумане; Сложность некоторых уровней,,2026-09-16 11:07
